frekvencia;teljesitmeny;csatorna;adohely;cim;id
87,6;7,6;Neo FM ;Győr;Szabadhegy ;1
87,6;0,5;Gong Rádió;Csongrád;;2
87,6;;Kontakt Rádió ;Budapest;Terézváros ;3
87,8;0,001;ZsebRádió ;Halásztelek ;;4
87,8;0,0006;Remete Rádió ;Pécs;Istenkút ;5
87,8;0,0005;Origóház Rádió ;Pécs;Mecsekszabolcs ;6
87,8;0,001;Rádió Sansz - A lehetőség! ;Székesfehérvár ;;7
87,9;0,2;Dió Rádió ;Hatvan ;;8
87,9;0,16;Rádió 1 ;Sárbogárd ;;9
88;0,125;N-Joy 88,0;Marcali ;;10
88;0,002;Méliusz Rádió ;Debrecen ;;11
88;0,007;Berettyó Night ;Berettyóújfalu ;;12
88;0,001;Alfa Rádió ;Balkány ;;13
88;;Karcag FM ;Karcag ;;14
88,1;1;Rise FM ;Budapest;Gellért-hegy ;15
88,1;;  ;Győr ;;16
88,2;0,2;Mária Rádió ;Kiskunmajsa ;;17
88,2;0,05;Pelso Rádió ;Balatonföldvár ;;18
88,3;5;MR1-Kossuth Rádió ;Tokaj;Nagy-kopasz ;19
88,3;1;Mária Rádió ;Komárom ;;20
88,3;0,1;Juventus Rádió;Mezőkovácsháza ;;21
88,4;2;Neo FM ;Csengőd;Kiskőrös ;22
88,4;0,3;Nyugat Rádió;Szombathely ;;23
88,6;0,1;Juventus Rádió;Orosháza ;;24
88,6;0,3;Tenkes Rádió ;Siklós ;;25
88,7;0,3;Parti Rádió ;Tiszafüred ;;26
88,7;0,24;Gong Rádió Baja ;Baja ;;27
88,7;0,001;Triangulum Rádió ;Őriszentpéter ;;28
88,7;0,002;Vértes Rádió ;Zámoly ;;29
88,8;0,1;Rádió C ;Budapest;Széchenyi-hegy ;30
88,8;0,1;Klubrádió ;Ajka ;;31
88,8;0,5;Rádió TOP ;Kazincbarcika ;;32
88,9;0,3;Rádió 1 Start ;Békéscsaba ;;33
88,9;0,2;Klubrádió Gyöngyös ;Gyöngyös;Sár-hegy ;34
88,9;0,1;N-Joy 88,9;Zalaegerszeg ;;35
88,9;0,001;Muzik Rádió ;Székesfehérvár ;;36
89;1;MR2-Petőfi Rádió ;Debrecen;Pallag ;37
89;0,1;Ezerjó Rádió ;Mór ;;38
89,2;0,05;Parti Rádió ;Abádszalók ;;39
89,4;6,3;MR2-Petőfi Rádió ;Csávoly ;;40
89,5;83;Juventus Rádió ;Budapest;Széchenyi-hegy ;41
89,5;0,05;MR1-Kossuth Rádió ;Barcs ;;42
89,6;0,2;Rádió 35 ;Tiszaújváros ;;43
89,6;0,002;Mustár Rádió ;Nyíregyháza ;;44
89,8;0,1;Bajai Rádió ;Baja ;;45
89,8;0,2;Rádió Express 89,8 ;Sárospatak ;;46
89,9;5;MR1-Kossuth Rádió ;Komádi ;;47
89,9;0,05;MR1-Kossuth Rádió ;Salgótarján ;;48
89,9;0,003;Puszta Rádió ;Kunszentmiklós ;;49
89,9;0,001;Szóbeszéd Rádió Mártély ;Mártély ;;50
89,9;0,002;Rákóczi Hírmondó ;Rákóczifalva ;;51
